221	227
90	98
305	309
154	164
314	319
225	231
195	202
299	303
304	307
328	335
57	64
60	67
211	217
149	159
43	48
152	162
7	9
253	260
311	316
187	194
245	251
79	88
84	91
191	199
45	51
264	269
301	305
179	187
35	41
215	221
326	332
218	224
235	240
214	220
262	266
18	21
334	340
251	257
39	44
3	4
24	27
169	179
25	28
246	252
98	107
67	75
261	265
325	331
329	334
87	95
136	146
155	165
93	101
97	106
294	299
51	57
82	93
54	61
281	285
16	19
146	156
27	31
148	158
142	153
332	338
239	245
308	313
139	150
28	32
144	154
249	255
254	261
14	16
292	297
112	120
135	145
4	5
6	8
324	330
40	45
250	256
268	273
247	253
182	190
83	92
217	223
77	86
69	79
223	229
234	239
127	137
13	15
237	242
0	0
265	270
240	246
255	262
231	236
38	43
75	84
285	290
280	284
29	33
271	277
208	214
315	320
232	237
288	293
34	40
322	328
94	102
44	50
200	207
101	110
274	280
92	100
133	143
52	58
140	151
56	63
164	175
102	111
316	321
224	230
128	138
293	298
151	161
137	147
159	171
263	268
106	114
30	34
58	65
76	85
113	121
277	282
110	118
129	139
121	128
10	11
71	81
330	336
227	233
166	177
204	210
1	2
307	312
134	144
153	163
123	131
318	323
12	14
196	204
65	74
70	80
272	278
86	94
21	23
72	82
49	56
317	322
36	42
15	17
186	193
306	311
171	181
158	170
319	324
184	192
243	248
320	325
273	279
248	254
161	173
212	218
189	197
202	208
132	142
222	228
309	314
213	219
61	68
163	174
81	90
312	317
206	212
284	289
157	169
197	205
165	176
64	69
89	97
226	232
209	215
130	140
269	274
174	184
210	216
99	108
119	126
