5647	7776
2479	7425
11958	730
7896	11910
11041	11349
828	5464
12256	4829
11678	4920
4545	1810
1530	2848
3090	1040
6902	11433
7841	8585
10430	5866
10230	9000
2025	11998
5221	1971
5017	5964
3967	1849
7728	8582
3132	9727
704	7621
12536	3401
12630	3851
35	9041
1483	1309
8018	6454
9015	4582
4917	9858
3108	7163
3900	2571
2975	5421
2538	3845
5160	5571
3496	8171
12016	22
10241	6181
784	8426
9990	1263
10590	6497
1927	2280
7391	9162
481	10308
5342	8360
5081	5986
1778	12041
9326	7455
5321	2555
1212	6307
4420	11415
817	4998
2043	10874
6555	10963
9903	7102
12115	5380
6436	5540
8351	9812
11514	3404
6325	2616
12484	353
5201	3660
12006	6116
13006	12185
7790	9994
8228	3841
9872	3101
855	2115
11663	10936
4757	444
8846	10126
11942	2163
5637	5066
10692	3487
7304	8125
6164	7791
7182	19
9370	1735
8379	864
8830	10106
1505	4601
189	9691
3147	2935
879	1852
3084	3678
9929	8661
6001	8293
11164	12276
9913	5394
2108	6427
5604	5285
3600	9992
1041	5873
1138	7634
7701	80
11472	1961
297	6718
9516	7034
2843	5980
8098	3858
2944	5216
6809	351
8108	7042
4642	4231
6425	7002
4833	8451
10327	2372
335	10803
7657	2340
764	8738
8133	4734
5065	97
1122	10
9606	4811
947	5316
3397	367
3490	2865
2890	9465
8709	5231
5755	2075
11348	1481
2304	11571
6206	9280
8778	3774
12714	5063
8789	4387
5246	819
10498	4759
9185	3374
10475	8099
4325	1744
1937	10222
9286	3384
7447	4466
8429	50
11491	6060
1389	7398
4998	8556
11212	7282
2676	3825
13033	4499
8368	3033
8894	2976
9747	3610
8643	3249
8227	6847
5985	255
3171	7912
4471	5150
7927	3051
5400	7028
6290	9482
3770	10322
681	3268
5030	1080
5554	2434
6135	11522
9358	2984
3403	10012
9569	3021
9940	11255
12612	6236
5285	4126
6094	1255
9639	1195
5867	8338
12406	9853
6867	5219
8457	12022
4747	7586
4114	672
7501	6229
374	12038
899	1600
11124	843
12077	5447
10817	2229
4151	8329
12114	8009
1418	8369
6589	1711
5707	890
364	7249
2835	7757
9434	8084
9269	12122
12227	12286
2394	10489
148	12049
2234	7134
11778	2277
10880	175
6938	11390
9746	9786
9484	1409
2708	2019
10471	669
10571	4826
9684	406
1064	8279
5695	611
3670	7033
441	6638
10110	555
2748	9028
11990	5732
10158	9517
8122	2023
8142	11858
2392	3984
5197	3504
4580	7190
11860	6761
8483	8557
4390	1545
9069	11685
9143	3062
10335	1799
8473	8022
6403	1832
6169	7924
12700	492
2317	6796
2966	4895
8343	299
10678	7005
11396	12361
693	4385
4677	8318
12430	11095
7004	3619
471	695
11106	6409
6468	11471
10342	9802
5794	2427
5888	8475
12547	10958
5560	7464
2788	10000
8335	9140
2363	11490
6475	9390
12389	10047
8885	9170
646	12114
1749	2794
12486	7057
1564	5930
7985	6660
2127	11030
9161	9840
10929	8162
8899	10453
2994	483
9164	7771
12863	5313
10343	2144
3577	4176
12705	11540
2798	9342
1299	9833
10663	4184
3312	11023
4024	8800
174	7557
11761	4554
3191	3129
592	4000
5371	5086
717	1935
6242	3963
5463	5664
8714	5334
2494	1522
5134	6128
10555	4154
8466	5601
1633	4364
7525	11546
5666	6999
2585	11754
10805	548
354	9753
399	11723
9336	3047
11115	1006
3394	919
557	540
12794	1829
5679	7373
1120	10962
10572	4873
10675	8438
12525	10843
6250	10354
6870	2844
958	9788
11871	7355
3352	1110
941	1305
10169	9741
10173	3908
3979	7330
7698	10859
8730	4766
10152	11145
2463	10566
10135	764
13003	2558
1147	1085
11564	6022
10014	8730
920	507
5532	6869
10190	3069
12596	6320
4199	9956
2581	11603
7769	3461
1628	5643
5094	823
11320	3776
6659	7083
6753	9723
10945	10945
8825	4678
7687	6245
5984	5622
9984	4845
10841	11811
3431	2975
107	6781
1385	3337
11489	12345
6528	6200
7226	12277
9787	10545
10191	6614
10463	122
12212	2509
1461	4970
337	12365
11309	12396
9020	8415
9741	11696
9756	7224
2233	6998
12812	6807
6734	4040
9094	1196
10914	8979
7247	11574
6410	10318
