463	4838	223
3002	15	154
6056	4594	132
902	7650	26
138	3042	166
1834	3257	121
5859	5160	132
2389	3602	288
7623	7131	121
2728	583	132
7984	6047	110
6071	1214	205
2953	2413	132
5556	615	110
7553	206	251
552	1181	195
4771	4815	210
4953	3395	20
2668	4581	223
237	2005	166
66	297	81
4346	5497	117
4235	4807	83
5887	949	297
3908	1798	110
5500	2109	223
5852	3563	121
4235	5216	277
3369	4207	132
6071	5382	110
691	590	263
463	3338	297
1624	7339	132
8185	6628	132
3237	6301	110
7355	3843	132
6301	1597	223
6571	7588	160
3229	2953	110
5538	693	134
6071	5887	110
3651	7179	110
7568	8145	110
7185	6588	17
6445	3328	123
3890	4807	83
5049	8157	215
4254	4625	290
6538	7940	102
787	7219	25
3183	6035	195
561	462	56
1798	1952	132
3118	6569	223
1734	2699	251
7568	7756	160
1488	6418	281
3237	5153	188
4966	3749	132
1460	5850	86
4645	3338	297
471	5068	154
3664	6291	154
2170	1177	288
7928	3237	110
1561	2450	28
5896	3382	195
7597	424	224
3469	5668	121
310	7928	195
5868	410	60
7891	1140	251
3844	139	288
8145	6634	123
61	5235	213
1834	902	110
789	5103	132
5556	4115	281
6819	880	58
615	7669	110
1754	9	205
7315	5640	110
3918	7052	44
4204	7409	195
1828	5245	205
1922	2526	121
2545	1847	121
4643	3521	132
2046	5556	94
4211	4489	44
1798	7774	110
3653	2167	110
6815	2387	193
6071	4505	110
5023	3229	110
7774	6868	102
5656	6056	110
3369	7272	132
3229	2511	110
6571	7261	17
238	3605	205
5711	4966	288
2668	1589	223
1334	6932	132
2165	5003	132
2706	6178	223
2378	5273	101
1243	384	266
7125	6810	44
6196	6035	110
453	2966	150
1749	7261	17
2573	565	110
7315	2434	297
3118	5253	125
5828	5365	213
4072	561	110
5213	254	88
2358	2668	110
6426	5266	110
3651	886	110
4617	1398	159
7501	811	121
4505	7041	132
1054	6451	134
6033	1151	134
4070	693	134
3203	8077	121
4867	7774	110
4283	5376	52
6822	5239	134
7070	2395	121
952	5161	132
1177	1972	297
49	2526	121
580	6066	121
3369	887	125
3196	7355	110
7409	3555	105
3268	4433	132
528	2450	28
1095	3733	288
5500	8096	132
2728	2050	132
6426	5023	110
7553	615	110
7002	2120	51
6673	902	195
3118	4620	132
5266	3503	205
5746	6599	44
6426	2598	87
1830	7672	132
5491	7366	206
5640	6340	132
561	5715	102
601	3595	127
238	6882	132
7219	215	110
4922	7219	175
7106	5253	125
4636	4607	288
4317	3473	288
6766	3546	121
565	3186	127
3237	1840	223
2358	6819	110
1798	5355	132
2728	3995	132
6071	6356	110
2511	3655	297
1840	3237	195
215	7355	110
2668	4941	110
3800	5107	272
789	6819	110
5633	3227	33
6056	3338	297
6196	3203	110
3369	4155	205
6645	5325	110
3203	2869	281
6211	778	125
5262	7734	56
4867	5997	132
3908	4483	58
3602	3740	132
7553	5953	132
2162	2379	132
5252	2897	105
49	6452	132
4832	1766	263
7379	9	205
3179	61	297
3602	1350	223
6931	4368	44
952	716	57
3369	7315	110
2726	6683	91
755	4046	33
561	1800	188
6071	7366	110
5852	2541	132
5743	1144	105
1798	5556	110
4490	3895	81
6969	7208	251
2184	2573	110
2783	352	121
3237	1624	110
5962	6270	288
1028	635	288
4511	7070	59
3614	4867	195
4631	5325	110
2668	292	110
7683	2248	134
7105	8182	213
304	7984	256
2573	3118	110
3255	1033	297
3183	5556	195
4193	2709	121
6071	5266	110
3660	2120	51
2231	7350	157
7179	3149	132
5023	1626	57
452	949	297
7529	7752	251
52	1535	278
902	7053	110
2944	5312	51
7984	2668	110
2966	5395	121
4072	7154	132
4211	2961	44
4951	2966	150
2406	5312	51
2740	6042	281
2165	1617	132
5656	1305	166
2740	3118	110
585	6244	134
138	4386	123
3237	6766	297
2662	3229	158
215	7571	282
2173	6301	110
6178	2706	195
3369	4700	188
2670	350	132
801	2425	163
3849	1650	132
5436	1972	297
237	4299	297
937	6538	195
2231	1013	297
8088	2963	121
2433	3112	228
1798	3203	110
3237	138	110
5500	566	132
2358	1010	132
3118	4370	110
1665	7373	154
2358	1575	51
5935	1912	198
3118	2740	110
2667	5444	58
4142	902	195
1650	3849	195
2668	4487	223
4599	3708	86
7144	4807	83
6939	4660	132
5916	7409	110
6426	3653	297
6634	2665	95
5382	2162	288
1718	2687	132
7355	7409	110
6301	7693	110
6071	7070	110
3229	1960	110
3216	4505	255
1434	7909	107
8168	6198	123
561	1761	297
4211	3781	44
7219	1655	58
7404	1565	132
3369	2835	132
4832	7204	168
615	8143	110
4438	4046	33
103	3203	134
395	1593	266
886	8011	250
3849	4035	110
4409	7179	110
3651	2513	297
453	297	81
7070	1960	110
1181	608	223
6086	2620	223
4660	9	205
8074	1094	44
6685	7654	95
7669	17	297
6071	4117	228
376	6837	121
8182	3469	134
3414	2735	107
6541	5371	207
1988	5393	123
2799	3844	288
4411	518	145
5727	3855	28
7355	4299	297
5721	5651	166
2231	6494	267
4219	3435	121
7886	586	28
6426	1749	110
2165	6276	58
7404	1179	297
6056	5091	132
3229	6073	282
4245	5710	121
6301	789	110
712	1575	51
6939	7129	297
3192	3338	297
3843	6919	288
6035	2406	110
3534	2513	297
8105	5935	150
2123	6550	297
6339	5365	213
3044	7588	160
4317	3582	125
902	6539	122
1334	3208	160
2123	2123	195
5107	7642	236
3498	4336	266
3653	4409	110
1985	6538	110
5845	3229	5
2668	2231	110
3202	2728	195
7906	4046	33
5049	4775	97
4581	2080	134
8148	6538	86
3901	4766	205
4370	6223	125
3382	5533	104
7800	1229	132
6939	2029	132
2740	3950	56
3338	395	272
7529	3203	110
7928	6211	110
1798	1033	297
5791	3438	154
5850	5312	51
5266	3655	297
7806	424	224
6426	3026	180
2162	949	297
7142	720	2
3203	3582	125
7252	5210	193
4401	2477	251
3229	3901	110
1404	3203	110
6426	551	266
7366	109	132
565	7010	132
3908	1972	297
3534	3563	121
168	6268	57
3849	5382	288
3397	902	25
3118	6255	223
1798	3395	20
2573	2728	288
7568	8031	251
1840	1497	134
3817	2249	84
779	3895	81
2162	2670	110
590	297	81
7284	152	288
7252	3446	208
7806	2526	121
6645	1013	297
7070	7595	132
4867	1033	297
2667	3171	297
6819	7261	17
1718	4110	132
3901	6819	110
1834	4922	297
5260	6389	44
865	2315	44
165	2995	223
4936	3600	121
5594	7419	121
552	4327	134
3935	615	195
1830	3216	104
5023	2647	132
1898	4766	205
2573	2519	125
4631	4072	110
38	1070	207
3651	168	110
3498	8183	132
7315	85	58
6784	2750	289
5312	4369	251
2735	7394	134
4339	1496	273
7483	7683	223
1459	2708	195
3065	4906	288
6538	5472	122
561	1972	297
3901	6426	110
4035	4631	110
7002	1852	166
902	2406	110
6207	1904	288
1660	7782	166
2740	2519	125
2573	6482	132
5049	3395	20
6145	2450	28
6071	3118	110
3229	3248	223
7886	3676	174
49	5876	127
902	3858	110
1834	2257	110
3858	4299	297
5308	1447	132
1749	6301	110
3534	2257	110
6301	5916	110
3908	7129	297
6426	1922	110
8077	2526	215
7650	3395	20
49	1799	132
7605	5365	213
7529	5556	110
6471	8087	17
5711	7832	132
159	9	205
3653	3657	213
7774	3449	58
3118	6047	110
615	8056	49
955	2123	12
3209	2231	195
1210	8182	111
7185	5609	154
5325	1798	110
3237	8143	110
2034	2914	288
3183	902	195
4035	7179	110
2040	902	25
7529	7206	110
8055	9	205
2371	4659	261
773	320	251
6601	6619	101
3651	3653	110
1960	1761	297
615	1972	297
7179	3196	110
5260	7073	44
6426	1828	110
5260	6275	132
88	3469	134
5880	7972	288
3602	6744	132
7797	2120	51
8185	5652	228
3498	2130	132
3196	3395	20
5380	297	81
2953	1798	110
2740	8145	110
6784	6993	134
7105	1033	297
4867	3818	17
7409	4104	251
3849	7065	132
285	7068	101
2184	7811	132
1688	952	195
1550	4065	288
1181	2511	110
5916	2433	110
2783	7193	87
